SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
127004,1,Cash loans,F,N,N,0,135000.0,337500.0,17671.5,337500.0,Unaccompanied,Working,Higher education,Single / not married,With parents,0.018029,-8317,-151,-3138.0,-1003,0.0,1,1,1,1,0,1,HR staff,1.0,3,3,THURSDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.3064575769761032,0.2469401655307841,0.4848514754962666,0.0794,-999.0,0.9866,0.8164,-999.0,-999.0,0.1379,0.2083,0.2083,-999.0,0.0647,-999.0,-999.0,-999.0,0.0809,-999.0,0.9866,0.8236,-999.0,-999.0,0.1379,0.2083,0.2083,-999.0,0.0707,-999.0,-999.0,-999.0,0.0802,-999.0,0.9866,0.8189,-999.0,-999.0,0.1379,0.2083,0.2083,-999.0,0.0658,-999.0,-999.0,-999.0,reg oper account,block of flats,0.0562,Panel,No,1.0,1.0,1.0,0.0,-548.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
128620,1,Cash loans,F,N,N,0,157500.0,67500.0,4509.0,67500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-13918,-2542,-4499.0,-4670,0.0,1,1,1,1,0,0,Sales staff,2.0,2,2,TUESDAY,8,0,0,0,0,0,0,Trade: type 7,0.5700604455374599,0.7037456100660286,0.5154953751603267,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,0.0,0.0,0.0,0.0,-1698.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
137706,1,Cash loans,F,N,Y,0,270000.0,331834.5,17374.5,252000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0096569999999999,-17018,-2612,-1349.0,-368,0.0,1,1,0,1,0,0,Cleaning staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Industry: type 3,,0.5148401451088109,0.0005272652387098,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
147699,1,Cash loans,M,N,Y,2,360000.0,553806.0,50791.5,495000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.006305,-11234,-3135,-3027.0,-3716,0.0,1,1,0,1,0,0,High skill tech staff,4.0,3,3,MONDAY,11,0,0,0,0,0,0,Security Ministries,0.2470146550971414,0.6416059504610513,0.6894791426446275,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,0.0,0.0,0.0,0.0,-1713.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,6.0
160467,1,Cash loans,F,N,Y,1,135000.0,1125000.0,33025.5,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-13418,-2067,-7195.0,-957,0.0,1,1,1,1,1,0,Unknown,3.0,2,2,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5924491675322765,0.2680829923702869,0.6690566947824041,0.1021,0.1059,0.9821,0.7552,0.0447,0.0,0.2069,0.1667,0.2083,0.1593,0.0832,0.0908,0.0116,0.0568,0.104,0.1099,0.9821,0.7648,0.0451,0.0,0.2069,0.1667,0.2083,0.163,0.0909,0.0946,0.0117,0.0602,0.1031,0.1059,0.9821,0.7585,0.045,0.0,0.2069,0.1667,0.2083,0.1621,0.0847,0.0924,0.0116,0.058,reg oper spec account,block of flats,0.087,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
161399,1,Cash loans,M,N,Y,1,49500.0,486459.0,22806.0,342000.0,Children,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020246,-13540,-3564,-7502.0,-4066,0.0,1,1,0,1,0,0,Laborers,3.0,3,3,SUNDAY,8,0,0,0,0,0,0,Transport: type 4,,0.2775921770019116,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,0.0,0.0,0.0,0.0,-448.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161579,1,Cash loans,F,N,Y,0,90000.0,755190.0,36459.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-8415,-1661,-2984.0,-1092,0.0,1,1,0,1,0,0,Sales staff,2.0,3,3,THURSDAY,12,0,0,0,0,0,0,Self-employed,0.2289210006483769,0.6653429420734341,0.2636468134452008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,1.0,1.0,1.0,1.0,-13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
162289,1,Cash loans,M,N,N,1,90000.0,284400.0,13257.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-11266,-3440,-3826.0,-3833,0.0,1,1,0,1,1,0,Laborers,3.0,2,2,FRIDAY,19,0,0,0,0,0,0,Business Entity Type 2,,0.1673316673105274,0.4561097392782771,0.1031,0.1067,0.9841,0.7824,-999.0,0.0,0.2069,0.1667,-999.0,0.1578,-999.0,0.0643,-999.0,-999.0,0.105,0.1108,0.9841,0.7909,-999.0,0.0,0.2069,0.1667,-999.0,0.1614,-999.0,0.0669,-999.0,-999.0,0.1041,0.1067,0.9841,0.7853,-999.0,0.0,0.2069,0.1667,-999.0,0.1605,-999.0,0.0654,-999.0,-999.0,Missing,block of flats,0.0737,Panel,No,1.0,1.0,1.0,1.0,-46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,2.0
182935,1,Cash loans,F,N,Y,0,157500.0,1152823.5,41539.5,931500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-12482,-3011,-2752.0,-1721,0.0,1,1,0,1,0,0,Core staff,2.0,3,3,TUESDAY,8,0,0,0,1,0,1,School,0.4961621270714748,0.4844590400013972,0.4794489811780563,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,5.0,1.0,5.0,0.0,-2605.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
189869,1,Cash loans,F,N,Y,0,157500.0,1800000.0,62568.0,1800000.0,Family,State servant,Higher education,Married,House / apartment,0.003069,-10761,-1056,-4630.0,-2005,0.0,1,1,0,1,0,0,Core staff,2.0,3,3,MONDAY,16,0,0,0,0,0,0,Kindergarten,0.6301636446136532,0.5336869857306185,0.6127042441012546,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,1.0,0.0,1.0,0.0,-751.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
