SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
113307,0,Cash loans,F,Y,Y,0,180000.0,288873.0,19435.5,238500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.032561,-19997,-1901,-4993.0,-3456,18.0,1,1,0,1,1,0,Unknown,2.0,1,1,SATURDAY,14,0,0,0,0,0,0,Other,,0.6763992650115594,0.8435435389318647,0.332,-999.0,0.9776,-999.0,-999.0,-999.0,0.2069,0.3333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.3382,-999.0,0.9777,-999.0,-999.0,-999.0,0.2069,0.3333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.3352,-999.0,0.9776,-999.0,-999.0,-999.0,0.2069,0.3333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,No,0.0,0.0,0.0,0.0,-540.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
137816,0,Cash loans,F,N,Y,3,112500.0,450000.0,32004.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.007114,-12892,-2679,-34.0,-4110,0.0,1,1,0,1,1,0,Sales staff,4.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Trade: type 7,,0.6521649895552099,,0.1093,0.1275,0.9811,0.7416,0.011,0.0,0.2759,0.1667,-999.0,0.1084,0.0807,0.0962,0.0386,0.0365,0.1113,0.1323,0.9811,0.7517,0.0111,0.0,0.2759,0.1667,-999.0,0.1109,0.0882,0.1002,0.0389,0.0386,0.1103,0.1275,0.9811,0.7451,0.0111,0.0,0.2759,0.1667,-999.0,0.1103,0.0821,0.0979,0.0388,0.0372,reg oper account,block of flats,0.0836,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141713,0,Cash loans,F,N,N,0,157500.0,521280.0,31630.5,450000.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.016612,-11764,-3491,-5881.0,-2997,0.0,1,1,0,1,0,0,Medicine staff,1.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Medicine,0.3026122190588155,0.298707057772889,0.4650692149562261,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,2.0,0.0,2.0,0.0,-1988.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147607,0,Cash loans,M,Y,Y,0,135000.0,1256400.0,36733.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-19739,-7724,-7730.0,-3284,3.0,1,1,1,1,1,0,Drivers,2.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Agriculture,0.7916735357073306,0.6427968049884555,0.7295666907060153,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,1.0,0.0,1.0,0.0,-1801.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
147765,0,Cash loans,M,Y,Y,0,180000.0,1288350.0,41692.5,1125000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.035792,-21122,-3922,-554.0,-4618,6.0,1,1,0,1,0,0,Unknown,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Self-employed,,0.6905005249296039,0.1963339662134567,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,2.0,0.0,2.0,0.0,-1432.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
157407,0,Cash loans,F,N,Y,0,225000.0,1741077.0,60646.5,1503000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-21984,-3878,-11016.0,-4436,0.0,1,1,1,1,1,0,Cleaning staff,2.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 2,0.6310202409931737,0.506966257716816,0.7610263695502636,0.2505,0.2663,0.9841,0.7824,0.2045,0.28,0.2414,0.3333,0.375,0.1265,0.2017,0.2733,0.0116,0.0402,0.2553,0.2764,0.9841,0.7909,0.2064,0.282,0.2414,0.3333,0.375,0.1294,0.2204,0.2847,0.0117,0.0426,0.2529,0.2663,0.9841,0.7853,0.2058,0.28,0.2414,0.3333,0.375,0.1287,0.2052,0.2782,0.0116,0.0411,reg oper spec account,block of flats,0.3178,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
160185,0,Cash loans,M,N,Y,0,243000.0,540000.0,34510.5,540000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.005144,-21992,-7801,-6369.0,-4822,0.0,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,11,0,0,0,0,0,0,Electricity,,0.2199775043481801,0.1214082861631216,0.1119,0.0848,0.9906,0.8708,0.0235,0.12,0.1034,0.3333,0.375,0.0382,0.0908,0.122,0.0039,0.0219,0.1134,0.0857,0.9906,0.8759,0.0237,0.1208,0.1034,0.3333,0.375,0.039,0.0992,0.127,0.0039,0.0,0.1129,0.0848,0.9906,0.8725,0.0237,0.12,0.1034,0.3333,0.375,0.0388,0.0923,0.1242,0.0039,0.0223,reg oper account,block of flats,0.1096,Panel,No,0.0,0.0,0.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161584,0,Cash loans,F,Y,Y,1,157500.0,1428147.0,137844.0,1395000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010032,-11902,-1171,-3386.0,-3843,16.0,1,1,0,1,0,0,Managers,3.0,2,2,TUESDAY,10,0,0,0,0,0,0,Industry: type 7,0.5856426250195402,0.4594393727248351,0.2970866116472028,0.1856,0.1694,0.9841,0.7824,0.0382,0.2,0.1724,0.3333,0.375,0.104,0.1513,0.1953,0.0039,0.0059,0.1891,0.1758,0.9841,0.7909,0.0385,0.2014,0.1724,0.3333,0.375,0.1064,0.1653,0.2035,0.0039,0.0062,0.1874,0.1694,0.9841,0.7853,0.0384,0.2,0.1724,0.3333,0.375,0.1058,0.1539,0.1989,0.0039,0.006,reg oper account,block of flats,0.1744,"Stone, brick",No,0.0,0.0,0.0,0.0,-523.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
173462,0,Cash loans,F,N,Y,0,180000.0,468000.0,35122.5,468000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.035792,-9280,-2317,-519.0,-1972,0.0,1,1,0,1,0,0,Waiters/barmen staff,1.0,2,2,WEDNESDAY,16,0,0,0,1,1,0,Business Entity Type 3,0.3316989030438236,0.4286249074486658,0.4101025731788671,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,Missing,Missing,4.0,0.0,4.0,0.0,-1247.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
188569,0,Cash loans,F,N,Y,0,180000.0,1512796.5,52713.0,1381500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-18350,-3918,-9507.0,-1835,0.0,1,1,0,1,0,0,High skill tech staff,2.0,2,2,TUESDAY,10,0,0,0,0,0,0,Transport: type 2,0.7257792012862061,0.6254068273131095,0.3825018041447388,0.1227,0.0517,0.9767,0.6804,0.018,0.0,0.2759,0.1667,0.2083,0.0876,0.1,0.113,0.0,0.0,0.125,0.0537,0.9767,0.6929,0.0182,0.0,0.2759,0.1667,0.2083,0.0896,0.1093,0.1177,0.0,0.0,0.1239,0.0517,0.9767,0.6847,0.0181,0.0,0.2759,0.1667,0.2083,0.0892,0.1018,0.115,0.0,0.0,reg oper account,block of flats,0.0987,Panel,No,3.0,0.0,3.0,0.0,-2643.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
